Unnamed: 0,api,state,basin,subbasin,county,tst_permit_date,tst_permit_published_date,tst_spud_date,tst_completion_date,tst_fracfocus_jobstart_date,tst_fracfocus_jobend_date,lat,long,style,wellpads_id,wells,area_m2,tst_first_detection_date,company_type,wellpad_vintage_year,flare_t_start,flare_t_end,comp_diff,spud_diff,permit_diff,detection_diff,best_estimate_diff,Unnamed: 0.2,id_,confidence,power,rad,source_id,aq_date,X,Y,spatial_group,t_diff,days_diffs,temporal_group
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,23275,156297622,8,0.4307427,0.52257687,667330,2019/10/2 9:18,-11340658.69,3728011.938,278,0 days 01:42:00,0,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,64476,154153722,8,1.2315323,0.52772796,660308,2019/10/6 8:00,-11340775.04,3727858.661,278,3 days 22:42:00,3,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,64475,154153718,8,0.7527702,0.5107709,660308,2019/10/6 8:00,-11340653.59,3728063.863,278,0 days 00:00:00,0,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,64599,155195279,8,1.1245929,0.39586788,663270,2019/10/8 9:06,-11340570.36,3727937.795,278,2 days 01:06:00,2,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,32682,155096605,8,0.45188946,0.39330307,662989,2019/10/16 8:12,-11340832.79,3728048.635,278,7 days 23:06:00,7,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,99464,155967123,8,1.0193508,0.2870677,666334,2019/10/17 9:36,-11340725.78,3727983.229,278,1 days 01:24:00,1,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,99465,155967124,8,0.7086159,0.27871546,666334,2019/10/17 9:36,-11340540.63,3728014.185,278,0 days 00:00:00,0,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,119043,157727294,8,0.5492171,0.3823032,672553,2019/10/18 7:36,-11340804.77,3728109.797,278,0 days 22:00:00,0,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,119039,157727290,8,0.55523473,0.38162637,672553,2019/10/18 7:36,-11341006.9,3728049.883,278,0 days 00:00:00,0,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,127207,155122062,8,0.29682598,0.38385984,663099,2019/10/18 9:18,-11340642.55,3727915.827,278,0 days 01:42:00,0,3
