,id,wellpads_id,longitude_pad,latitude_pad,longitude_well,latitude_well,basin,county,state,block,section,pad_area_km2,operator_name,tst_first_detection_date,tst_permit_date,tst_spud_date,tst_regulator_completion_date,tst_fracfocus_jobstart_date,tst_fracfocus_jobend_date
5240,138484,813515,-102.041595,31.901823,-102.04154522161734,31.901753887478097,Permian,Midland,Texas,39 T2S,38,0.045737322,PIONEER NATURAL RES USA INC,2021-09-29 00:00:00,2021-09-14,,,,
5241,138485,813515,-102.041595,31.901823,-102.04145231924372,31.901776587479414,Permian,Midland,Texas,39 T2S,38,0.045737322,PIONEER NATURAL RES USA INC,2021-09-29 00:00:00,2021-09-14,2021-11-13,,,
5242,138490,732607,-102.07617,31.802048,-102.07627021984446,31.801812060316543,Permian,Midland,Texas,39 T3S,28,0.03140586,ENDEAVOR ENERGY RESOURCES LP,2021-04-25 00:00:00,2021-09-17,2021-10-02,2021-10-20,2021-12-28 00:00:00,2022-01-09 00:00:00
5243,138491,711551,-101.93477,31.688417,-101.93487642393225,31.688065906396428,Permian,Midland,Texas,38 T4S,31,0.03966339,APACHE CORP,2019-04-06 00:00:00,2021-12-13,2022-01-03,,,
5244,138499,843334,-101.94097,31.736877,-101.94139212369909,31.73713418590754,Permian,Midland,Texas,38 T4S,17,0.04387902,CHEVRON USA INC,2021-12-11 00:00:00,2021-09-24,,,,
5245,138502,816446,-101.959305,31.905994,-101.9593510628393,31.90603603817169,Permian,Midland,Texas,38 T2S,33,0.08613509,PIONEER NATURAL RES USA INC,2021-08-30 00:00:00,2021-10-20,,,,
5246,138505,816446,-101.959305,31.905994,-101.95908075535104,31.90608994041677,Permian,Midland,Texas,38 T2S,33,0.08613509,PIONEER NATURAL RES USA INC,2021-08-30 00:00:00,2021-10-20,2022-01-11,,,
5247,138507,816446,-101.959305,31.905994,-101.95889135010788,31.906128441968583,Permian,Midland,Texas,38 T2S,33,0.08613509,PIONEER NATURAL RES USA INC,2021-08-30 00:00:00,2021-10-20,2022-01-13,,,
5248,138511,813410,-101.956726,31.90663,-101.95649268410445,31.906693059386626,Permian,Midland,Texas,38 T2S,33,0.0795987,PIONEER NATURAL RES USA INC,2021-09-29 00:00:00,2021-10-20,2022-01-24,,,
5249,138516,836848,-102.2031,31.980719,-102.20319849214683,31.98063766927373,Permian,Midland,Texas,40 T1S,40,0.03356427,XTO ENERGY INC,2021-11-06 00:00:00,2021-09-30,,,,
5250,138517,836848,-102.2031,31.980719,-102.20317049078035,31.980552972390235,Permian,Midland,Texas,40 T1S,40,0.03356427,XTO ENERGY INC,2021-11-06 00:00:00,2021-09-30,,,,
5251,138522,102251,-101.812096,32.060093,-101.81170178265914,32.06036788609472,Permian,Midland,Texas,36 T1S,45,0.035696305,PIONEER NATURAL RES USA INC,2018-05-03 00:00:00,2021-09-29,2021-10-13,,2022-02-06 00:00:00,2022-02-28 00:00:00
5252,138525,843334,-101.94097,31.736877,-101.94103291202126,31.736880999031744,Permian,Midland,Texas,38 T4S,17,0.04387902,CHEVRON USA INC,2021-12-11 00:00:00,2021-10-01,,,,
5253,138533,832559,-101.931755,31.738052,-101.93144731485192,31.738163517253223,Permian,Midland,Texas,38 T4S,17,0.060752008,CHEVRON USA INC,2021-10-12 00:00:00,2021-10-01,,,,
5254,138542,816484,-101.85202,31.825064,-101.85198006653049,31.825073195637987,Permian,Midland,Texas,37 T3S,41,0.072997354,PIONEER NATURAL RES USA INC,2021-10-04 00:00:00,2021-10-28,2022-01-01,,,
5255,138545,816484,-101.85202,31.825064,-101.85179296121542,31.825114197238477,Permian,Midland,Texas,37 T3S,41,0.072997354,PIONEER NATURAL RES USA INC,2021-10-04 00:00:00,2021-10-28,2022-01-04,,,
5256,138546,832556,-102.037,31.97472,-102.03705225069056,31.974587495782508,Permian,Midland,Texas,38 T2S,7,0.014602227,PIONEER NATURAL RES USA INC,2021-10-14 00:00:00,2021-10-04,,,2022-02-05 15:49:00,2022-02-06 19:00:00
5257,138556,836985,-102.22522,31.975702,-102.2253681711921,31.975610734959634,Permian,Midland,Texas,40 T1S,41,0.052254014,XTO ENERGY INC,2021-11-11 00:00:00,2021-10-07,,,,
5258,138559,836984,-102.232834,31.97183,-102.2327978497216,31.9718995947857,Permian,Midland,Texas,40 T1S,41,0.034848556,XTO ENERGY INC,2021-11-11 00:00:00,2021-10-07,,,,
