,id,pad_id,longitude_pad,latitude_pad,county,state,operator_principal,parent_operator_co,company_type,pad_status,tst_first_detection_date
6304,352761,9txw3t4u,-101.8833,32.064384,Midland,Texas,"PIONEER NATURAL RES. USA, INC.",,,no permit,2018-11-29 00:00:00.000
6305,688713,9v802r3s,-101.23664,31.022032,Crockett,Texas,RRP OPERATING LLC,NaN,NaN,no permit,2019-01-13 00:00:00.000
6306,796936,9txgdy6k,-101.47742,31.587814,Reagan,Texas,LAREDO PETROLEUM INC,LAREDO PETROLEUM,Public,no permit,2019-01-13 00:00:00.000
6307,769574,9ty8p5up,-103.04609,32.365555,Andrews,Texas,"YOUNG, MARSHALL R., OIL CO.",NaN,NaN,no permit,2021-07-09 00:00:00.000
6308,742641,9txsb01j,-101.95163,31.773489,Midland,Texas,"PIONEER NATURAL RES. USA, INC.",,,no permit,2018-05-03 00:00:00.000
6309,732228,9twk75j7,-103.571655,31.701725,Loving,Texas,OXY USA INC,OCCIDENTAL,Public,no permit,2021-05-20 00:00:00.000
6310,731553,9txjzvke,-102.30928,31.97762,Ector,Texas,COG OPERATING LLC,CONOCOPHILLIPS,Private,no permit,2019-01-08 00:00:00.000
6311,782808,9txwvevz,-101.70344,32.145927,Martin,Texas,SM ENERGY CO,SM ENERGY,Public,no permit,2021-08-10 00:00:00.000
6312,388788,9txgr9c3,-101.27019,31.518587,Reagan,Texas,"GANADOR OPERATING, LLC",NaN,NaN,no permit,2018-07-17 00:00:00.000
6313,781797,9tx5b6gn,-102.6409,31.612892,Crane,Texas,COOPER OIL AND GAS LLC,COOPER OIL AND GAS,Private,no permit,
6314,857766,9txr77p9,-102.15127,32.22858,Martin,Texas,COG OPERATING LLC,CONOCOPHILLIPS,Private,no permit,2022-05-10 00:00:00.000
6315,857802,9txr6rxy,-102.19513,32.25426,Martin,Texas,COG OPERATING LLC,CONOCOPHILLIPS,Private,no permit,2022-05-10 00:00:00.000
6316,857831,9twtt4bt,-103.13891,31.92031,Winkler,Texas,BLACKBEARD OPERATING LLC,NaN,NaN,no permit,2022-05-10 00:00:00.000
6317,857846,9twu6gmh,-102.87992,31.70319,Winkler,Texas,APACHE CORP,APA,Public,no permit,2022-05-10 00:00:00.000
6318,786202,9tx51kcj,-102.59969,31.49183,Crane,Texas,LARIO OIL AND GAS CO,O'S COMPANIES,Private,no permit,
6319,780685,9txkncf0,-102.0053,31.650259,Upton,Texas,PIONEER NATURAL RES USA INC,PIONEER,Public,no permit,2021-08-03 00:00:00.000
6320,389289,9v2n3xc4,-101.18251,30.672863,Crockett,Texas,"EPIC PERMIAN OPERATING, LLC",NaN,NaN,no permit,2018-05-03 00:00:00.000
6321,784843,9twgy3w2,-102.724495,31.604944,Crane,Texas,WILLIAMS OIL COMPANY,NaN,NaN,no permit,
6322,697887,9twvnxg4,-102.71801,31.85942,Ector,Texas,SLANT OPERATING LLC,SLANT ENERGY,Private,no permit,2019-01-21 00:00:00.000
6323,731794,9tygbsty,-102.97782,33.028805,Yoakum,Texas,APACHE CORP,APA,Public,no permit,2021-05-20 00:00:00.000
6324,773517,9twjz1mc,-103.74691,31.955383,Loving,Texas,ANADARKO E AND P ONSHORE LLC,OCCIDENTAL,Public,no permit,2021-02-24 00:00:00.000
6325,784963,9twfn51t,-102.741844,31.30644,Crane,Texas,HILLIN-SIMON OIL COMPANY,NaN,NaN,no permit,
6326,852911,9twu8b1y,-102.97216,31.729715,Winkler,Texas,BURLINGTON RES O & G CO-MIDLAND,,,no permit,2022-04-05 00:00:00.000
6327,262320,9twty35d,-103.079575,31.95416,Winkler,Texas,XTO ENERGY INC,EXXON,Public,no permit,2018-05-06 00:00:00.000
6328,774554,9tx49sdn,-102.58728,31.402746,Crane,Texas,N & B OIL AND GAS LLC,NaN,NaN,no permit,2021-05-17 00:00:00.000
6329,799940,9vb35yhn,-100.72781,32.553585,Scurry,Texas,THREE SPAN OIL AND GAS INC,THREE SPAN OIL AND GAS,Private,no permit,2021-09-04 00:00:00.000
6330,738843,9trycyhb,-101.518005,30.75082,Crockett,Texas,WTG EXPLORATION,WEST TEXAS GAS,Public,no permit,2019-02-17 00:00:00.000
6331,796990,9txmkq9s,-102.11586,31.896803,Midland,Texas,CHEVRON USA INC,CHEVRON,Public,no permit,2019-05-11 00:00:00.000
6332,716367,9twhuwuf,-103.858086,31.810047,Reeves,Texas,ANADARKO E AND P ONSHORE LLC,OCCIDENTAL,Public,no permit,2021-01-25 00:00:00.000
